EQUIPE,NM,DN,PONTUAÇÃO,INDICADOR,COMPETENCIA SELECIONADA,TIPO EQUIPE,MUNICIPIO
EQUIPE ACAUA,49,66,"74,24",Mais Acesso,JAN/25,"eAP,eSF",Acauã
ESF - SEDE,224,270,"82,96",Mais Acesso,JAN/25,"eAP,eSF",Acauã
ESF - POSTO FISCAL DO SITIO,154,216,"71,30",Mais Acesso,JAN/25,"eAP,eSF",Acauã
ESF - ALTA VISTA,235,354,"66,38",Mais Acesso,JAN/25,"eAP,eSF",Acauã
PSF MANOEL N PEREIRA,72,402,"17,91",Mais Acesso,JAN/25,"eAP,eSF",Agricolândia
PSF PITOMBEIRA,12,553,"2,17",Mais Acesso,JAN/25,"eAP,eSF",Agricolândia
PSF MAE PEDA,98,1004,"9,76",Mais Acesso,JAN/25,"eAP,eSF",Agricolândia
PSF FRANCELINO BARBOSA LOPES,219,350,"62,57",Mais Acesso,JAN/25,"eAP,eSF",Água Branca
PSF MAE RAIMUNDA,245,323,"75,85",Mais Acesso,JAN/25,"eAP,eSF",Água Branca
PSF CHICO RAIMUNDO,552,644,"85,71",Mais Acesso,JAN/25,"eAP,eSF",Água Branca
PSF DONA BERNADETE BARBOSA,131,170,"77,06",Mais Acesso,JAN/25,"eAP,eSF",Água Branca
PSF ANTONIO C DE SIQUEIRA,488,759,"64,30",Mais Acesso,JAN/25,"eAP,eSF",Água Branca
EQUIPE ACAUA,3,223,"1,35",Mais Acesso,FEV/25,"eAP,eSF",Acauã
ESF - SEDE,2,260,"0,77",Mais Acesso,FEV/25,"eAP,eSF",Acauã
ESF - POSTO FISCAL DO SITIO,0,168,"0,00",Mais Acesso,FEV/25,"eAP,eSF",Acauã
ESF - ALTA VISTA,0,228,"0,00",Mais Acesso,FEV/25,"eAP,eSF",Acauã
PSF MANOEL N PEREIRA,0,31,"0,00",Mais Acesso,FEV/25,"eAP,eSF",Agricolândia
PSF PITOMBEIRA,13,37,"35,14",Mais Acesso,FEV/25,"eAP,eSF",Agricolândia
PSF MAE PEDA,26,166,"15,66",Mais Acesso,FEV/25,"eAP,eSF",Agricolândia
PSF FRANCELINO BARBOSA LOPES,63,453,"13,91",Mais Acesso,FEV/25,"eAP,eSF",Água Branca
PSF MAE RAIMUNDA,0,563,"0,00",Mais Acesso,FEV/25,"eAP,eSF",Água Branca
PSF CHICO RAIMUNDO,218,645,"33,80",Mais Acesso,FEV/25,"eAP,eSF",Água Branca
PSF DONA BERNADETE BARBOSA,1,277,"0,36",Mais Acesso,FEV/25,"eAP,eSF",Água Branca
PSF ANTONIO C DE SIQUEIRA,429,720,"59,58",Mais Acesso,FEV/25,"eAP,eSF",Água Branca
PSF MANOEL N PEREIRA,23,213,"10,80",Mais Acesso,MAR/25,"eAP,eSF",Agricolândia
PSF PITOMBEIRA,29,109,"26,61",Mais Acesso,MAR/25,"eAP,eSF",Agricolândia
PSF MAE PEDA,225,388,"57,99",Mais Acesso,MAR/25,"eAP,eSF",Agricolândia
EQUIPE ACAUA,1,103,"0,97",Mais Acesso,MAR/25,"eAP,eSF",Acauã
ESF - SEDE,3,358,"0,84",Mais Acesso,MAR/25,"eAP,eSF",Acauã
ESF - POSTO FISCAL DO SITIO,1,242,"0,41",Mais Acesso,MAR/25,"eAP,eSF",Acauã
ESF - ALTA VISTA,18,423,"4,26",Mais Acesso,MAR/25,"eAP,eSF",Acauã
PSF FRANCELINO BARBOSA LOPES,13,365,"3,56",Mais Acesso,MAR/25,"eAP,eSF",Água Branca
PSF MAE RAIMUNDA,0,505,"0,00",Mais Acesso,MAR/25,"eAP,eSF",Água Branca
PSF CHICO RAIMUNDO,265,588,"45,07",Mais Acesso,MAR/25,"eAP,eSF",Água Branca
PSF DONA BERNADETE BARBOSA,9,313,"2,88",Mais Acesso,MAR/25,"eAP,eSF",Água Branca
PSF ANTONIO C DE SIQUEIRA,482,690,"69,86",Mais Acesso,MAR/25,"eAP,eSF",Água Branca
EQUIPE ACAUA,0,74,"0,00",Mais Acesso,ABR/25,"eAP,eSF",Acauã
ESF - SEDE,8,260,"3,08",Mais Acesso,ABR/25,"eAP,eSF",Acauã
ESF - POSTO FISCAL DO SITIO,0,364,"0,00",Mais Acesso,ABR/25,"eAP,eSF",Acauã
ESF - ALTA VISTA,32,502,"6,37",Mais Acesso,ABR/25,"eAP,eSF",Acauã
PSF MANOEL N PEREIRA,44,256,"17,19",Mais Acesso,ABR/25,"eAP,eSF",Agricolândia
PSF PITOMBEIRA,33,116,"28,45",Mais Acesso,ABR/25,"eAP,eSF",Agricolândia
PSF MAE PEDA,49,333,"14,71",Mais Acesso,ABR/25,"eAP,eSF",Agricolândia
PSF FRANCELINO BARBOSA LOPES,6,449,"1,34",Mais Acesso,ABR/25,"eAP,eSF",Água Branca
PSF MAE RAIMUNDA,0,379,"0,00",Mais Acesso,ABR/25,"eAP,eSF",Água Branca
PSF CHICO RAIMUNDO,273,680,"40,15",Mais Acesso,ABR/25,"eAP,eSF",Água Branca
PSF DONA BERNADETE BARBOSA,11,249,"4,42",Mais Acesso,ABR/25,"eAP,eSF",Água Branca
