codigo_ibge,nome_municipio
2200053,Acauã
2200103,Agricolândia
2200202,Água Branca
2200251,Alagoinha do Piauí
2200277,Alegrete do Piauí
2200301,Alto Longá
2200400,Altos
2200459,Alvorada do Gurguéia
2200509,Amarante
2200608,Angical do Piauí
2200707,Anísio de Abreu
2200806,Antônio Almeida
2200905,Aroazes
2200954,Aroeiras do Itaim
2201002,Arraial
2201051,Assunção do Piauí
2201101,Avelino Lopes
2201150,Baixa Grande do Ribeiro
2201176,Barra D'Alcântara
2201200,Barras
2201309,Barreiras do Piauí
2201408,Barro Duro
2201507,Batalha
2201556,Bela Vista do Piauí
2201572,Belém do Piauí
2201606,Beneditinos
2201705,Bertolínia
2201739,Betânia do Piauí
2201770,Boa Hora
2201804,Bocaina
2201903,Bom Jesus
2201919,Bom Princípio do Piauí
2201929,Bonfim do Piauí
2201945,Boqueirão do Piauí
2201960,Brasileira
2201988,Brejo do Piauí
2202000,Buriti dos Lopes
2202026,Buriti dos Montes
2202059,Cajazeiras do Piauí
2202075,Cajueiro da Praia
2202083,Caldeirão Grande do Piauí
2202091,Campinas do Piauí
2202109,Campo Alegre do Fidalgo
2202117,Campo Grande do Piauí
2202133,Campo Largo do Piauí
2202174,Campo Maior
2202208,Canavieira
2202251,Canto do Buriti
2202307,Capitão de Campos
2202406,Capitão Gervásio Oliveira
2202455,Caracol
2202505,Caridade do Piauí
2202539,Castelo do Piauí
2202554,Caxingó
2202604,Cocal
2202653,Cocal de Telha
2202703,Cocal dos Alves
2202711,Coivaras
2202729,Colônia do Gurguéia
2202737,Colônia do Piauí
2202752,Conceição do Canindé
2202778,Coronel José Dias
2202802,Corrente
2202851,Cristalândia do Piauí
2202901,Cristino Castro
2203008,Curimatá
2203107,Currais
2203206,Curralinhos
2203230,Curral Novo do Piauí
2203255,Demerval Lobão
2203271,Dirceu Arcoverde
2203305,Dom Expedito Lopes
2203354,Domingos Mourão
2203404,Dom Inocêncio
2203420,Elesbão Veloso
2203453,Eliseu Martins
2203503,Esperantina
2203602,Fartura do Piauí
2203701,Flores do Piauí
2203750,Floresta do Piauí
2203800,Floriano
2203859,Francinópolis
2203909,Francisco Ayres
2204006,Francisco Macedo
2204105,Francisco Santos
2204154,Fronteiras
2204204,Geminiano
2204303,Gilbués
2204352,Guadalupe
2204402,Guaribas
2204501,Hugo Napoleão
